em_testing,f1_score_testing,sas_testing,fold,gold_answers,model_answers
1.0,1.0,0.9713695049285889,0,Answer: old-fashioned flaky pie dough,Answer: old-fashioned flaky pie dough
1.0,1.0,0.9667707681655884,0,Answer: 2 hours,Answer: 2 hours
0.0,0.800000011920929,0.8500995635986328,0,Answer: ripe peaches,Answer: peaches
0.0,0.800000011920929,0.6752140522003174,0,Answer: medium bowl,Answer: medium
0.0,0.5,0.9660786986351013,0,Answer: peaches,Answer: peach
1.0,1.0,0.9672412872314453,0,Answer: sharp knife,Answer: sharp knife
0.0,0.2222222238779068,0.4399447739124298,0,Answer: 1 large egg|1 large egg yolk,Answer: 2
0.0,0.4000000059604645,0.01657738909125328,0,Answer: silver rum,Answer: brush
0.0,0.6666666865348816,0.6533923745155334,0,Answer: 3 1/2 ounces sugar (1/2 cup; 100g),Answer: 3 1/2 ounces
0.0,0.2222222238779068,0.3244917690753937,0,Answer: one 2–inch piece fresh ginger,Answer: 2 inch
1.0,1.0,0.9653390645980835,0,Answer: yogurt,Answer: yogurt
1.0,1.0,0.965289294719696,0,Answer: lamb,Answer: lamb
0.0,0.4000000059604645,0.21728405356407166,0,Answer: saucepan,Answer: dutch oven
0.0,0.75,0.6762748956680298,0,Answer: 30 minutes,Answer: 25 to 30 minutes
1.0,1.0,0.9593908190727234,0,Answer: 3,Answer: 3
0.0,0.5714285969734192,0.9017651677131653,0,Answer: heat to medium-high,Answer: medium heat
0.0,0.75,0.7633082270622253,0,Answer: 45 minutes,Answer: 30 to 45 minutes
0.0,0.5,0.11700284481048584,0,Answer: rice,Answer: lamb
0.0,0.800000011920929,0.7707551121711731,0,Answer: water,Answer: soaking water
0.0,0.3333333432674408,0.21140578389167786,0,Answer: large wooden spoon,Answer: fork
1.0,1.0,0.9644612073898315,0,Answer: rice,Answer: rice
1.0,1.0,0.9690374135971069,0,Answer: small saucepan,Answer: small saucepan
1.0,1.0,0.9677125215530396,0,Answer: low heat,Answer: low heat
0.0,0.8571428656578064,0.9556493759155273,0,Answer: for 10 minutes,Answer: 10 minutes
0.0,0.8571428656578064,0.8764071464538574,0,Answer: caramelized onions,Answer: reserved caramelized onions
1.0,1.0,0.9635211825370789,0,Answer: pot,Answer: pot
