em_testing,f1_score_testing,sas_testing,fold,gold_answers,model_answers
1.0,1.0,0.9716776609420776,0,0) Heat the oil in a large pot over medium heat.,0) Heat the oil in a large pot over medium heat.
1.0,1.0,0.9705253839492798,0,1) Place chicken in the pot; brown on all sides.,1) Place chicken in the pot; brown on all sides.
1.0,1.0,0.9709426760673523,0,"2) Season with sea salt, chili powder, cumin, ground chipotle, black pepper,  and cayenne pepper.","2) Season with sea salt, chili powder, cumin, ground chipotle, black pepper,  and cayenne pepper."
0.0,0.23076923191547394,0.2754213511943817,0,"2) Season with sea salt, chili powder, cumin, ground chipotle, black pepper,  and cayenne pepper.","3) Mix in onion, green bell pepper, and yellow bell pepper."
1.0,1.0,0.9707732796669006,0,"3) Mix in onion, green bell pepper, and yellow bell pepper.","3) Mix in onion, green bell pepper, and yellow bell pepper."
1.0,1.0,0.9744343161582947,0,"4) Pour in about 3 cups water, and continue cooking 10 minutes, until about 1/2 the water has evaporated.","4) Pour in about 3 cups water, and continue cooking 10 minutes, until about 1/2 the water has evaporated."
1.0,1.0,0.9715486168861389,0,"5) Mix the kidney beans, black beans, and corn into the pot.","5) Mix the kidney beans, black beans, and corn into the pot."
0.0,0.23529411852359772,0.36626702547073364,0,"1 (15 ounce) can kidney beans, undrained","5) Mix the kidney beans, black beans, and corn into the pot."
0.0,0.0,0.10236802697181702,0,"5) Mix the kidney beans, black beans, and corn into the pot.",6) Season with green pepper sauce.
0.0,0.1111111119389534,0.17924904823303223,0,"1 (11 ounce) can whole kernel corn, drained","5) Mix the kidney beans, black beans, and corn into the pot."
1.0,1.0,0.9701852798461914,0,6) Season with green pepper sauce.,6) Season with green pepper sauce.
1.0,1.0,0.9728110432624817,0,"7) Reduce heat to low, and mix in remaining 2 cups water and tomato paste.","7) Reduce heat to low, and mix in remaining 2 cups water and tomato paste."
0.0,0.0,0.30957290530204773,0,"7) Reduce heat to low, and mix in remaining 2 cups water and tomato paste.","8) Simmer, stirring occasionally 30 minutes, or until thickened."
0.0,0.17391304671764374,0.29791566729545593,0,1 (6 ounce) can roasted garlic tomato paste,"7) Reduce heat to low, and mix in remaining 2 cups water and tomato paste."
1.0,1.0,0.9716399908065796,0,"8) Simmer, stirring occasionally 30 minutes, or until thickened.","8) Simmer, stirring occasionally 30 minutes, or until thickened."
1.0,1.0,0.9687502384185791,0,9) Top with cilantro to serve.,9) Top with cilantro to serve.
1.0,1.0,0.9687502384185791,0,9) Top with cilantro to serve.,9) Top with cilantro to serve.
1.0,1.0,0.9719593524932861,0,"2 tablespoons olive oil, divided","2 tablespoons olive oil, divided"
0.0,0.0,0.011307941749691963,0,"2 (6 ounce) skinless, boneless chicken breast halves",1 1/2 tablespoons Cajun seasoning
1.0,1.0,0.9708148241043091,0,1 1/2 tablespoons Cajun seasoning,1 1/2 tablespoons Cajun seasoning
0.0,0.0,0.030477168038487434,0,1 tablespoon balsamic vinegar,"2 cloves garlic, crushed"
0.0,0.25,0.08661174774169922,0,1 tablespoon balsamic vinegar,1 teaspoon Dijon mustard
0.0,0.0,0.012088711373507977,0,salt and black pepper to taste,1 teaspoon Dijon mustard
1.0,1.0,0.9707061052322388,0,1 cup arugula,1 cup arugula
0.0,0.1538461595773697,0.06492122262716293,0,"12 oil-packed sun-dried tomatoes, drained and sliced","1 avocado - peeled, pitted, and diced"
0.0,0.0,0.07258351147174835,0,"12 oil-packed sun-dried tomatoes, drained and sliced",0) Warm 1 tablespoon olive oil in a large skillet over medium heat.
0.0,0.0,0.36579760909080505,0,0) Warm 1 tablespoon olive oil in a large skillet over medium heat.,1/2 cup sliced black olives
1.0,1.0,0.9724871516227722,0,"1) Season both sides of chicken with Cajun seasoning, and place in hot oil.","1) Season both sides of chicken with Cajun seasoning, and place in hot oil."
0.0,0.0,0.009188882075250149,0,<no_answer>,"3) Cook chicken 5 minutes on each side, or until juices run clear."
0.0,0.09090909361839294,0.2112722396850586,0,"4) Remove chicken from skillet, drain on paper towels, cool slightly, and dice; discard oil and garlic.",2) Stir in crushed garlic.
1.0,1.0,0.9724562764167786,0,"5) In a small bowl, mix remaining olive oil, balsamic vinegar, mustard, salt, and pepper.","5) In a small bowl, mix remaining olive oil, balsamic vinegar, mustard, salt, and pepper."
1.0,1.0,0.9740384221076965,0,"6) In a large bowl, gently toss the dressing with the mixed salad greens, arugula, avocado, sun-dried tomatoes, and olives.","6) In a large bowl, gently toss the dressing with the mixed salad greens, arugula, avocado, sun-dried tomatoes, and olives."
1.0,1.0,0.9667078256607056,0,7) Top with diced chicken to serve.,7) Top with diced chicken to serve.
0.0,0.0,0.009232427924871445,0,3 tablespoons crushed black peppercorns,1/2 cup red wine
0.0,0.0,0.00922705139964819,0,2 (8 ounce) beef top sirloin steaks,1/2 cup heavy cream
0.0,0.0,0.011013425886631012,0,1 tablespoon lemon pepper,1/2 cup red wine
0.0,0.0,0.011013425886631012,0,1 tablespoon lemon pepper,1/2 cup red wine
0.0,0.0,0.010361230932176113,0,5 tablespoons butter,1/2 cup red wine
1.0,1.0,0.9718112945556641,0,1/2 cup red wine,1/2 cup red wine
1.0,1.0,0.9718112945556641,0,1/2 cup red wine,1/2 cup red wine
1.0,1.0,0.9722175598144531,0,1/4 cup chopped green onions,1/4 cup chopped green onions
1.0,1.0,0.9710556268692017,0,1/2 cup heavy cream,1/2 cup heavy cream
1.0,1.0,0.9710556268692017,0,1/2 cup heavy cream,1/2 cup heavy cream
0.0,0.0,0.00890278723090887,0,0) Press crushed peppercorns into both sides of each steak.,1/2 cup heavy cream
1.0,1.0,0.9710606932640076,0,"1) Sprinkle with lemon pepper, and salt.","1) Sprinkle with lemon pepper, and salt."
1.0,1.0,0.9712166786193848,0,2) Melt butter in a large skillet over medium-high heat.,2) Melt butter in a large skillet over medium-high heat.
1.0,1.0,0.9711312055587769,0,"3) Stir in garlic and wine, and cook for 1 minute.","3) Stir in garlic and wine, and cook for 1 minute."
1.0,1.0,0.9724888205528259,0,"4) Arrange steaks in pan, and cook for 5 to 10 minutes per side, or until desired doneness.","4) Arrange steaks in pan, and cook for 5 to 10 minutes per side, or until desired doneness."
1.0,1.0,0.9672598242759705,0,5) Reduce heat to low.,5) Reduce heat to low.
0.0,0.0,0.008866928517818451,0,<no_answer>,"6) Pour brandy onto steaks, and carefully light with a match."
0.0,0.0,0.20508795976638794,0,"9) Cook, stirring sauce, until hot.","8) Sprinkle green onion and shallot around the steaks, and circle the steaks with cream."
1.0,1.0,0.9672693014144897,0,10) Transfer steaks to plates.,10) Transfer steaks to plates.
0.0,0.0,0.18833740055561066,0,10) Transfer steaks to plates.,"11) Stir sugar into sauce, and then spoon over meat."
0.0,0.2222222238779068,0.4389578700065613,0,6 cups all-purpose flour,"0) In a large mixing bowl, combine 3 cups flour, cheese, sugar, yeast and salt."
1.0,1.0,0.9678671360015869,0,3 tablespoons sugar,3 tablespoons sugar
0.0,0.20000000298023224,0.02596360258758068,0,2 teaspoons salt,2 (.25 ounce) packages active dry yeast
0.0,0.07999999821186066,0.2198900431394577,0,1) Add milk and egg; beat on low speed until smooth.,"0) In a large mixing bowl, combine 3 cups flour, cheese, sugar, yeast and salt."
1.0,1.0,0.9712456464767456,0,2) Stir in enough remaining flour to form a soft dough.,2) Stir in enough remaining flour to form a soft dough.
1.0,1.0,0.971980094909668,0,"3) Turn onto a floured surface; knead until smooth and elastic, about 6-8 minutes.","3) Turn onto a floured surface; knead until smooth and elastic, about 6-8 minutes."
0.0,0.17391304671764374,0.1364361196756363,0,"5) Cover and let rise in a warm place until doubled, about 1 hour.","4) Place in a greased bowl, turning once to grease top."
1.0,1.0,0.9633798599243164,0,6) Punch dough down.,6) Punch dough down.
1.0,1.0,0.9703585505485535,0,8) Place in two greased 9-in pans.,8) Place in two greased 9-in pans.
1.0,1.0,0.9708938002586365,0,"9) Cover and let rise until doubled, about 45 minutes.","9) Cover and let rise until doubled, about 45 minutes."
1.0,1.0,0.9710291028022766,0,11) Remove from pans to cool on wire racks.,11) Remove from pans to cool on wire racks.
1.0,1.0,0.9719165563583374,0,"3 (10 ounce) packages frozen chopped spinach, thawed","3 (10 ounce) packages frozen chopped spinach, thawed"
1.0,1.0,0.9719165563583374,0,"3 (10 ounce) packages frozen chopped spinach, thawed","3 (10 ounce) packages frozen chopped spinach, thawed"
0.0,0.0,0.009442664682865143,0,1/2 teaspoon onion salt,"3 (10 ounce) packages frozen chopped spinach, thawed"
0.0,0.0,0.05907762050628662,0,"3/4 cup grated Parmesan cheese, divided",1/2 teaspoon ground nutmeg
0.0,0.0,0.01173306629061699,0,salt and pepper to taste,3/4 cup Italian seasoned bread crumbs
0.0,0.6666666865348816,0.5384597182273865,0,"6 tablespoons butter or margarine, divided","5 tablespoons butter or margarine, melted"
0.0,0.0,0.07195864617824554,0,1/2 teaspoon salt,1/4 cup all-purpose flour
0.0,0.5,0.19340573251247406,0,2 cups shredded Cheddar cheese,2 cups milk
1.0,1.0,0.970996618270874,0,0) Drain and squeeze out excess moisture from spinach.,0) Drain and squeeze out excess moisture from spinach.
1.0,1.0,0.970946729183197,0,"1) Beat eggs, onion salt and nutmeg.","1) Beat eggs, onion salt and nutmeg."
