em_testing,f1_score_testing,sas_testing,fold,gold_answers,model_answers
0.0,0.0,0.009332624264061451,2,1 (21 ounce) can cherry pie filling,<no_answer>
0.0,0.0,0.010077458806335926,2,1 (16.5 ounce) can pitted dark sweet cherries,<no_answer>
0.0,0.2666666805744171,0.06657453626394272,2,1 (16.5 ounce) can pitted dark sweet cherries,1 (18.25 ounce) package chocolate cake mix
0.0,0.0,0.009234343655407429,2,1 cup chopped walnuts,<no_answer>
0.0,0.0,0.009619941003620625,2,0) Preheat oven to 375 degrees F (190 degrees C).,<no_answer>
0.0,0.0,0.05574464052915573,2,2) Dump cherry pie filling into dish and spread evenly.,7) Bake in the preheated oven for 45 minutes.
0.0,0.0,0.399274080991745,2,"3) Repeat with cherries, including juice.",2) Dump cherry pie filling into dish and spread evenly.
0.0,0.0,0.05781431496143341,2,4) Sprinkle cake mix over the top - DO NOT STIR.,"3) Repeat with cherries, including juice."
0.0,0.0,0.009072704240679741,2,5) Sprinkle with chopped nuts.,<no_answer>
0.0,0.0,0.1103426069021225,2,6) Distribute butter pieces evenly over the top.,7) Bake in the preheated oven for 45 minutes.
0.0,0.0,0.009228084236383438,2,7) Bake in the preheated oven for 45 minutes.,<no_answer>
0.0,0.0,0.009020036086440086,2,<no_answer>,7) Bake in the preheated oven for 45 minutes.
0.0,0.0,0.020360326394438744,2,"1 (8 ounce) package cream cheese, softened",1/3 cup confectioners' sugar for decoration
0.0,0.1818181872367859,0.39284607768058777,2,"1 (8 ounce) package cream cheese, softened","1/2 cup butter, softened"
0.0,0.0,0.09131059050559998,2,2 cups all-purpose flour,"1/2 cup butter, softened"
0.0,0.0,0.009174926206469536,2,1/2 pound ground walnuts,<no_answer>
0.0,0.23529411852359772,0.4670501947402954,2,0) Beat together cream cheese and margarine until well blended.,"1 (8 ounce) package cream cheese, softened"
1.0,1.0,0.9704219698905945,2,"1) Add flour, mixing well.","1) Add flour, mixing well."
0.0,0.2222222238779068,0.47984060645103455,2,2 cups all-purpose flour,"1) Add flour, mixing well."
0.0,0.095238097012043,0.07355620712041855,2,"2) Shape into a ball, cover and chill for 2 hours.","1 (8 ounce) package cream cheese, softened, 1/2 cup butter, softened, 2 cups all-purpose flour, 1 cup white sugar, 1/3 cup milk, 1/2 pound ground walnuts, 1/3 cup confectioners' sugar for decoration"
0.0,0.0,0.04490893706679344,2,"3) In saucepan over medium heat, cook sugar and milk, stirring occasionally until milk boils and sugar is dissolved.",<no_answer>
1.0,1.0,0.9715274572372437,2,"3) In saucepan over medium heat, cook sugar and milk, stirring occasionally until milk boils and sugar is dissolved.","3) In saucepan over medium heat, cook sugar and milk, stirring occasionally until milk boils and sugar is dissolved."
1.0,1.0,0.9706209301948547,2,1/3 cup milk,1/3 cup milk
0.0,0.0,0.009073604829609394,2,4) Add the ground nuts.,<no_answer>
0.0,0.0,0.009009676985442638,2,5) Remove from heat and let cool until mixture is of spreading consistency.,<no_answer>
0.0,0.0,0.00955780129879713,2,6) Roll out chilled dough on lightly floured surface to a rectangle about 18 X 12 inches.,<no_answer>
0.0,0.0,0.009149136021733284,2,7) Cut in half lengthwise.,<no_answer>
0.0,0.0,0.00899947714060545,2,9) Cut each roll in half.,<no_answer>
0.0,0.0,0.01447743084281683,2,"11) Leaving roll's shape intact, cut into slices 1/2 inch thick almost to the bottom of the roll.",<no_answer>
0.0,0.0,0.009526816196739674,2,12) Bake at 350 degrees F (175 degrees C) for 15 to 20 minutes or till done.,<no_answer>
0.0,0.0,0.009202428162097931,2,13) Remove from sheet and sprinkle with confectioners' sugar.,<no_answer>
0.0,0.0,0.009255577810108662,2,15) Cut cookies all the way through.,<no_answer>
0.0,0.0,0.009282547049224377,2,17) Resprinkle with confectioners' sugar before serving.,<no_answer>
0.0,0.0,0.009282547049224377,2,17) Resprinkle with confectioners' sugar before serving.,<no_answer>
0.0,0.0,0.00941868219524622,2,"4 boneless, skinless chicken breast halves",<no_answer>
0.0,0.0,0.00921169389039278,2,1 tablespoon vegetable oil,<no_answer>
1.0,1.0,0.9673145413398743,2,"1 onion, chopped","1 onion, chopped"
0.0,0.0,0.00961816031485796,2,"12 small chile peppers, diced  (optional)",<no_answer>
0.0,0.0,0.009084595367312431,2,"1 bunch green onions, chopped",<no_answer>
0.0,0.0,0.009221303276717663,2,3 cups shredded Cheddar cheese,<no_answer>
0.0,0.0,0.009221303276717663,2,3 cups shredded Cheddar cheese,<no_answer>
0.0,0.0,0.009218764491379261,2,0) Cut chicken breasts into 1 inch strips.,<no_answer>
1.0,1.0,0.9653828144073486,2,<no_answer>,<no_answer>
0.0,0.0,0.03479461744427681,2,"1) Place in a medium bowl with desired marinade, and marinate in the refrigerator for at least 30 minutes.",<no_answer>
0.0,0.0,0.03479461744427681,2,"1) Place in a medium bowl with desired marinade, and marinate in the refrigerator for at least 30 minutes.",<no_answer>
0.0,0.0,0.009754990227520466,2,2) Preheat oven to 350 degrees F (175 degrees C).,<no_answer>
0.0,0.0,0.009317861869931221,2,3) Heat oil in a large skillet over medium heat.,<no_answer>
0.0,0.0,0.009294996969401836,2,4) Saute chicken and onions until chicken is evenly brown.,<no_answer>
0.0,0.0,0.009310725145041943,2,until chicken is evenly brown,<no_answer>
0.0,0.0,0.03481074795126915,2,"5) Stir in diced tomatoes with green chile peppers, stewed tomatoes, chile peppers, soup and broth.",<no_answer>
0.0,0.0,0.03481074795126915,2,"5) Stir in diced tomatoes with green chile peppers, stewed tomatoes, chile peppers, soup and broth.",<no_answer>
0.0,0.0,0.03481074795126915,2,"5) Stir in diced tomatoes with green chile peppers, stewed tomatoes, chile peppers, soup and broth.",<no_answer>
1.0,1.0,0.9668980240821838,2,6) Bring mixture to a boil.,6) Bring mixture to a boil.
0.0,0.0,0.008910390548408031,2,6) Bring mixture to a boil.,<no_answer>
0.0,0.0,0.009554348886013031,2,"8) Remove chicken from skillet, and shred when cool enough to handle.",<no_answer>
1.0,1.0,0.9653828144073486,2,<no_answer>,<no_answer>
0.0,0.0,0.01158126536756754,2,"10) In a medium bowl, combine shredded chicken and about 1/4 cup skillet mixture (just enough to make a paste like mixture).",<no_answer>
0.0,0.0,0.009265574626624584,2,11) Mix together with half the chopped green onions.,<no_answer>
0.0,0.0,0.009533473290503025,2,12) Pour remaining 2 cups of skillet mixture into a 9x13 inch baking dish.,<no_answer>
0.0,0.0,0.00970442034304142,2,"13) In a second skillet, heat cream over low heat, being careful not to boil.",<no_answer>
0.0,0.0,0.009342499077320099,2,14) Dip tortillas in the warm cream to soften and coat.,<no_answer>
